Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Bahamas, The",BHS,-17000000,250250000,382252000,251277428.82,76075924.75,390400036.41,304587573.117333,491404689.229667,482229306.391,434599799.803594,383064779.121094,1254831912.9
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bahrain,BHR,91755319.1489362,363562321.906708,3727712765.95745,1518617021.2766,64893617.0212766,243351063.829787,518882978.723404,111170212.765957,1548138297.8723,1021382978.7234,1779175531.9149,1951329787.234
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bangladesh,BGD,3238781.18895631,280384629.677983,2602962095.36816,2539190939.6837,2831152765.15515,2332724780.71108,1810395803.56746,2421626238.43717,1908045387.02685,1525312160.40493,1723856464.12346,1555404914.93737
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Barbados,BRB,11213282.795,73696943.905,104089451.159478,753687476.11428,688525943.309105,557500316.04356,91481933.165,241596499.9,215370128.6,262100000,238735064.3,200000000
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Belarus,BLR,..,118800000,2246100000,1862000000,1652300000,1246900000,1276300000,1426500000,1273300000,1393200000,1230721861.86,1613025743.38
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Belgium,BEL,8046729999.9,88738714000,-29640924980.1455,-15205871357.966,-19514245854.7287,57538351507.0684,-37288840312.4531,-41601387266.7493,-21379939833.4956,-24346546463.5301,24036812329.7259,9792975250.52743
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Belize,BLZ,17200000,29564651.9166666,92247730.9426541,141097030.34391,59119223.8981488,32733410.9928006,31831615.5013862,122041646.954707,93910241.7033733,76202813.5002132,125495493.195586,133556467.620593
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Benin,BEN,-2954844.09146129,-12794843.6146594,360343380.324677,405737369.105159,149755663.330268,131790853.84079,200902719.348051,194073683.196865,218207871.715643,174019952.063051,345985235.68003,266603189.4723
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bermuda,BMU,..,66900000,54904045.8298395,-3425440.52413015,-143094386.12,-73213793.633562,-288109270.997092,95416371.5,4389826.5,476518083.75,49675691.875,-32893333.3
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bhutan,BTN,1600000,..,20433631.0650379,23534931.751976,6450953.8497443,11884162.3485119,-16553759.9525493,2649454.31118453,13011377.2857268,-2786960.89013149,6783112.48768633,9670493.42695823
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bolivia,BOL,27200000,736350000,1749612614.39791,656566350.80003,554643532.297183,335365530.426077,712474137.775022,302368781.37636,-216636843.1305,-1129487271.3377,583576424.725665,-11934917.3671706
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bosnia and Herzegovina,BIH,..,146075610.876644,313295008.331529,544866345.45742,383089615.729344,313198153.358835,509429047.915133,601783317.146819,447875544.610653,433013741.938227,638360931.212466,645101053.877831
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Botswana,BWA,95889963.0424103,57171341.354862,67136806.1634995,515184471.01724,378554181.530079,142522598.297582,260575129.351448,285955061.932015,93607130.0326021,31792610.4142283,-319055857.574533,216459291.052761
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Brazil,BRA,989000000,32994718699.75,75211029129.4,87713983217.24,64738153494.44,74294627801.19,68885491315.23,78162724370.35,69174411753.43,37786286307.45,46439071565.28,91502103577.54
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,British Virgin Islands,VGB,18350000,8073327000,104804764398.1,40462007210.4,66712741570.6,49022945936.8,39609971334.7,34389709123.2,39103361610.6,39619635210,39361498410.3,38118551088.5
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Brunei Darussalam,BRN,7000000,549607250.7,775641999.0889,573906207.836339,171289167.823995,-150550827.310313,467927550.316567,516202620.629746,373256767.246304,565542275.429332,204749379.815089,-292416275.450752
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bulgaria,BGR,4000000,1001503841.99968,1989040000,1093600000,2221390000,1488430000,2007290000,1809860000,2221250000,3594550000,2499330000,3216630000
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Burkina Faso,BFA,460000,23107520.4782,490403410.536841,357296974.294135,231901703.683869,390622353.410172,2572690.32188177,268414907.946195,162970140.263612,-98777856.0144418,-79957355.3390048,121295499.7553
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Burundi,BDI,1255434.74294,11683246.0768,116727136.517749,81747197.2345183,49622865.7705811,55420.3566564864,316473.449369742,983747.12499426,1044957.4151,8722119.1164,9933539.9547,12883687.9339
